,serialId,date,collarId,latitude,longitude,positionId,species_id,first_scraped,last_scraped,species_name
80,T5HS-5594,2025-11-16T03:30:30Z,13299,-2.307527,34.56227,150668353,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
81,T5HS-7303,2025-11-16T03:30:30Z,16652,-2.344442,34.40802,150675967,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
82,T5HS-5601,2025-11-16T03:30:01Z,13306,-2.04928,34.740907,150655817,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
83,T5HS-7287,2025-11-16T03:30:00Z,16636,-2.347093,34.525013,150655831,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
84,T5HS-6142,2025-11-16T00:30:41Z,14161,-2.30403,34.411123,150661854,1,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Zebra
85,T5HS-5583,2025-11-16T00:30:30Z,13288,-2.390907,34.460272,150675005,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
86,T5H-1861,2025-11-15T23:31:38Z,10743,55.87136,-4.290133,150653152,4,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,unknown
87,T5HS-5594,2025-11-15T23:30:41Z,13299,-2.324478,34.571807,150668352,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
88,T5HS-7292,2025-11-15T21:31:04Z,16641,-2.00903,34.725072,150662471,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
89,T5HS-5570,2025-11-15T21:30:58Z,13274,-2.28778,34.532703,150671099,1,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Zebra
90,T5HS-7293,2025-11-15T21:30:50Z,16642,-2.28094,34.277082,150660127,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
91,T5HS-6666,2025-11-15T21:30:45Z,14980,-2.077317,35.043215,150673825,2,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Eland
92,T5HS-5608,2025-11-15T21:30:43Z,13313,-2.232448,34.54001,150655815,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
93,T5HS-7306,2025-11-15T21:30:42Z,16655,-1.473505,34.838072,150675948,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
94,T5HS-7296,2025-11-15T21:30:42Z,16645,-2.363782,34.44088,150658231,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
95,T5HS-7287,2025-11-15T21:30:41Z,16636,-2.330288,34.540438,150655841,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
96,T5HS-7304,2025-11-15T21:30:41Z,16653,-2.28441,34.2973,150675981,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
97,T5HS-7291,2025-11-15T21:30:41Z,16640,-2.102502,34.763062,150660140,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
98,T5HS-7300,2025-11-15T21:30:41Z,16649,-1.955878,34.980365,150660102,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
99,T5HS-7562,2025-11-15T21:30:41Z,17325,-2.284395,34.515497,150658217,4,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,unknown
100,T5HS-7564,2025-11-15T21:30:41Z,17327,-2.058037,34.872677,150658243,4,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,unknown
101,T5HS-5601,2025-11-15T21:30:39Z,13306,-2.049152,34.73248,150655829,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
102,T5HS-7303,2025-11-15T21:30:39Z,16652,-2.3399,34.414682,150675966,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
103,T5HS-7301,2025-11-15T21:30:30Z,16650,-2.380207,34.430288,150660115,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
104,T5HS-5594,2025-11-15T19:30:30Z,13299,-2.324795,34.572562,150668351,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
105,T5HS-5583,2025-11-15T18:30:42Z,13288,-2.388087,34.456795,150675004,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
106,T5HS-6142,2025-11-15T18:30:41Z,14161,-2.308065,34.417445,150661853,1,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Zebra
107,T5HS-7296,2025-11-15T15:31:12Z,16645,-2.350833,34.453572,150658230,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
108,T5HS-5608,2025-11-15T15:31:07Z,13313,-2.239797,34.533378,150655814,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
109,T5HS-7304,2025-11-15T15:31:05Z,16653,-2.280805,34.292612,150675980,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
110,T5HS-6666,2025-11-15T15:30:58Z,14980,-2.0613,35.040523,150673824,2,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Eland
111,T5HS-7287,2025-11-15T15:30:51Z,16636,-2.33128,34.552427,150655840,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
112,T5HS-7291,2025-11-15T15:30:47Z,16640,-2.104102,34.767488,150660139,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
113,T5HS-5601,2025-11-15T15:30:43Z,13306,-2.043972,34.73494,150655828,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
114,T5HS-7566,2025-11-15T15:30:42Z,17329,-2.354035,34.49247,150645165,4,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,unknown
115,T5HS-7303,2025-11-15T15:30:42Z,16652,-2.334138,34.425077,150675965,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
116,T5HS-5570,2025-11-15T15:30:41Z,13274,-2.28101,34.545205,150671098,1,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Zebra
117,T5HS-7298,2025-11-15T15:30:41Z,16647,-2.32099,34.383725,150645153,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
118,T5HS-7562,2025-11-15T15:30:41Z,17325,-2.266528,34.518943,150658216,4,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,unknown
119,T5HS-7564,2025-11-15T15:30:41Z,17327,-2.052225,34.881307,150658242,4,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,unknown
120,T5HS-7306,2025-11-15T15:30:41Z,16655,-1.46579,34.845535,150675947,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
121,T5HS-7561,2025-11-15T15:30:40Z,17324,-2.381678,34.506535,150645178,4,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,unknown
122,T5HS-5594,2025-11-15T15:30:33Z,13299,-2.325142,34.599308,150668350,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
123,T5HS-7293,2025-11-15T15:30:31Z,16642,-2.280007,34.288193,150660126,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
124,T5HS-7292,2025-11-15T15:30:30Z,16641,-2.003615,34.726112,150662470,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
125,T5HS-7301,2025-11-15T15:30:30Z,16650,-2.391338,34.456392,150660114,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
126,T5HS-7300,2025-11-15T15:30:30Z,16649,-1.94876,34.982268,150660101,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
127,T5HS-7566,2025-11-15T15:30:08Z,17329,-2.35392,34.49216,150645154,4,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,unknown
128,T5HS-7561,2025-11-15T15:30:01Z,17324,-2.381653,34.50624,150645168,4,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,unknown
129,T5HS-7298,2025-11-15T15:30:00Z,16647,-2.32064,34.38336,150645142,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
130,T5HS-6142,2025-11-15T12:30:41Z,14161,-2.305305,34.456635,150661852,1,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Zebra
131,T5HS-5583,2025-11-15T12:30:41Z,13288,-2.393822,34.463958,150675003,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
132,T5HS-5594,2025-11-15T11:30:30Z,13299,-2.315982,34.617348,150668349,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
133,T5HS-7304,2025-11-15T09:31:23Z,16653,-2.344512,34.389657,150675979,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
134,T5HS-7291,2025-11-15T09:30:50Z,16640,-2.10293,34.789938,150660138,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
135,T5HS-5570,2025-11-15T09:30:42Z,13274,-2.24214,34.583528,150671097,1,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Zebra
136,T5HS-7298,2025-11-15T09:30:42Z,16647,-2.334027,34.403062,150645152,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
137,T5HS-7301,2025-11-15T09:30:42Z,16650,-2.453898,34.452283,150660113,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
138,T5HS-5608,2025-11-15T09:30:42Z,13313,-2.212475,34.562228,150655812,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
139,T5HS-5607,2025-11-15T09:30:42Z,13312,-2.21744,34.696395,150643322,1,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Zebra
140,T5HS-7306,2025-11-15T09:30:42Z,16655,-1.46951,34.85254,150675946,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
141,T5HS-7564,2025-11-15T09:30:41Z,17327,-2.03794,34.92181,150658241,4,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,unknown
142,T5HS-7566,2025-11-15T09:30:41Z,17329,-2.346927,34.55307,150645164,4,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,unknown
143,T5HS-6666,2025-11-15T09:30:41Z,14980,-2.06188,35.043098,150673823,2,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Eland
144,T5HS-7303,2025-11-15T09:30:41Z,16652,-2.324753,34.459443,150675964,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
145,T5HS-7296,2025-11-15T09:30:41Z,16645,-2.339245,34.462885,150658229,3,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,Wildebeest
146,T5HS-7562,2025-11-15T09:30:35Z,17325,-2.259953,34.523428,150658215,4,2025-11-17T20:24:02.655986+00:00,2025-11-19T18:06:51.534819+00:00,unknown
